transaction_id,transaction_date_time,transaction_qty,product_id,unit_price,product_cate_id,product_type_id,product_detail
394,1/1/2023 16:35:11,1,28,2,3,13,Columbian Medium Roast Sm
398,1/1/2023 16:40:19,1,46,2.5,9,12,Serenity Green Tea Rg
399,1/1/2023 16:41:51,1,23,2.5,3,1,Our Old Time Diner Blend Rg
402,1/1/2023 16:47:05,1,44,2.5,9,7,Peppermint Rg
403,1/1/2023 16:47:05,1,72,3.25,1,2,Ginger Scone
405,1/1/2023 16:49:19,1,53,3,9,4,Traditional Blend Chai Lg
406,1/1/2023 16:49:19,1,71,3.75,1,8,Chocolate Croissant
409,1/1/2023 16:52:51,1,50,2.5,9,5,Earl Grey Rg
427,1/1/2023 17:19:08,1,75,3.5,1,8,Croissant
435,1/1/2023 17:23:03,1,48,2.5,9,5,English Breakfast Rg
440,1/1/2023 17:28:42,1,37,3,3,3,Espresso shot
441,1/1/2023 17:28:42,1,70,3.25,1,2,Cranberry Scone
459,1/1/2023 17:50:19,1,45,3,9,7,Peppermint Lg
464,1/1/2023 17:58:01,1,39,4.25,3,3,Latte Rg
483,1/1/2023 18:19:45,1,52,2.5,9,4,Traditional Blend Chai Rg
484,1/1/2023 18:19:45,1,76,3.5,1,6,Chocolate Chip Biscotti
551,1/2/2023 7:01:59,1,87,3,3,3,Ouro Brasileiro shot
552,1/2/2023 7:12:05,1,51,3,9,5,Earl Grey Lg
554,1/2/2023 7:16:46,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
555,1/2/2023 7:16:46,1,70,3.25,1,2,Cranberry Scone
557,1/2/2023 7:22:45,1,42,2.5,9,7,Lemon Grass Rg
558,1/2/2023 7:25:59,1,24,3,3,1,Our Old Time Diner Blend Lg
559,1/2/2023 7:35:10,1,53,3,9,4,Traditional Blend Chai Lg
560,1/2/2023 7:48:26,1,41,4.25,3,3,Cappuccino Lg
561,1/2/2023 7:48:26,1,75,3.5,1,8,Croissant
563,1/2/2023 7:59:47,1,48,2.5,9,5,English Breakfast Rg
564,1/2/2023 7:59:47,1,75,3.5,1,8,Croissant
568,1/2/2023 8:04:59,1,61,4.75,5,11,Sustainably Grown Organic Lg
569,1/2/2023 8:09:46,1,48,2.5,9,5,English Breakfast Rg
570,1/2/2023 8:09:51,1,61,4.75,5,11,Sustainably Grown Organic Lg
574,1/2/2023 8:14:13,1,55,4,9,4,Morning Sunrise Chai Lg
581,1/2/2023 8:25:22,1,25,2.2,3,9,Brazilian Sm
584,1/2/2023 8:30:10,1,29,2.5,3,13,Columbian Medium Roast Rg
590,1/2/2023 8:55:40,1,28,2,3,13,Columbian Medium Roast Sm
593,1/2/2023 9:06:29,1,33,3.5,3,13,Ethiopia Lg
601,1/2/2023 9:12:47,1,75,3.5,1,8,Croissant
605,1/2/2023 9:25:27,1,29,2.5,3,13,Columbian Medium Roast Rg
613,1/2/2023 9:40:52,1,48,2.5,9,5,English Breakfast Rg
614,1/2/2023 9:45:34,1,30,3,3,13,Columbian Medium Roast Lg
618,1/2/2023 9:50:57,1,23,2.5,3,1,Our Old Time Diner Blend Rg
619,1/2/2023 9:52:17,1,26,3,3,9,Brazilian Rg
622,1/2/2023 9:56:45,1,51,3,9,5,Earl Grey Lg
627,1/2/2023 10:05:11,1,58,3.5,5,11,Dark chocolate Rg
628,1/2/2023 10:05:22,1,55,4,9,4,Morning Sunrise Chai Lg
629,1/2/2023 10:07:28,1,26,3,3,9,Brazilian Rg
633,1/2/2023 10:13:55,1,79,3.75,1,2,Jumbo Savory Scone
634,1/2/2023 10:16:43,1,28,2,3,13,Columbian Medium Roast Sm
637,1/2/2023 10:22:19,1,23,2.5,3,1,Our Old Time Diner Blend Rg
638,1/2/2023 10:26:49,1,23,2.5,3,1,Our Old Time Diner Blend Rg
639,1/2/2023 10:27:05,1,25,2.2,3,9,Brazilian Sm
643,1/2/2023 10:36:44,1,51,3,9,5,Earl Grey Lg
645,1/2/2023 10:48:57,1,53,3,9,4,Traditional Blend Chai Lg
655,1/2/2023 11:06:28,1,25,2.2,3,9,Brazilian Sm
659,1/2/2023 11:12:33,1,46,2.5,9,12,Serenity Green Tea Rg
686,1/2/2023 11:39:11,1,74,3.5,1,6,Ginger Biscotti
688,1/2/2023 11:41:54,1,48,2.5,9,5,English Breakfast Rg
692,1/2/2023 11:49:10,1,44,2.5,9,7,Peppermint Rg
714,1/2/2023 12:20:43,1,47,3,9,12,Serenity Green Tea Lg
715,1/2/2023 12:20:43,1,71,3.75,1,8,Chocolate Croissant
720,1/2/2023 12:22:12,1,55,4,9,4,Morning Sunrise Chai Lg
721,1/2/2023 12:22:12,1,79,3.75,1,2,Jumbo Savory Scone
722,1/2/2023 12:23:03,1,22,2,3,1,Our Old Time Diner Blend Sm
726,1/2/2023 12:24:39,1,69,3.25,1,6,Hazelnut Biscotti
730,1/2/2023 12:26:13,1,78,4.5,1,2,Scottish Cream Scone 
741,1/2/2023 12:36:37,1,25,2.2,3,9,Brazilian Sm
746,1/2/2023 12:42:19,1,52,2.5,9,4,Traditional Blend Chai Rg
748,1/2/2023 12:45:02,1,26,3,3,9,Brazilian Rg
752,1/2/2023 12:54:07,1,58,3.5,5,11,Dark chocolate Rg
753,1/2/2023 12:54:07,1,77,3,1,2,Oatmeal Scone
770,1/2/2023 13:09:27,1,51,3,9,5,Earl Grey Lg
771,1/2/2023 13:09:27,1,70,3.25,1,2,Cranberry Scone
776,1/2/2023 13:15:40,1,24,3,3,1,Our Old Time Diner Blend Lg
799,1/2/2023 13:40:53,1,48,2.5,9,5,English Breakfast Rg
800,1/2/2023 13:40:53,1,79,3.75,1,2,Jumbo Savory Scone
813,1/2/2023 13:56:19,1,39,4.25,3,3,Latte Rg
821,1/2/2023 14:05:27,1,56,2.55,9,4,Spicy Eye Opener Chai Rg
822,1/2/2023 14:05:27,1,75,3.5,1,8,Croissant
826,1/2/2023 14:11:08,1,28,2,3,13,Columbian Medium Roast Sm
856,1/2/2023 14:48:05,1,41,4.25,3,3,Cappuccino Lg
859,1/2/2023 14:52:26,1,46,2.5,9,12,Serenity Green Tea Rg
860,1/2/2023 14:52:26,1,76,3.5,1,6,Chocolate Chip Biscotti
862,1/2/2023 14:54:40,1,87,3,3,3,Ouro Brasileiro shot
878,1/2/2023 15:18:41,1,59,4.5,5,11,Dark chocolate Lg
887,1/2/2023 15:26:22,1,69,3.25,1,6,Hazelnut Biscotti
898,1/2/2023 15:35:30,1,70,3.25,1,2,Cranberry Scone
907,1/2/2023 15:41:55,1,74,3.5,1,6,Ginger Biscotti
910,1/2/2023 15:48:55,1,46,2.5,9,12,Serenity Green Tea Rg
911,1/2/2023 15:48:55,1,73,3.75,1,8,Almond Croissant
912,1/2/2023 15:49:27,1,42,2.5,9,7,Lemon Grass Rg
913,1/2/2023 15:49:27,1,78,4.5,1,2,Scottish Cream Scone 
918,1/2/2023 15:51:29,1,34,2.45,3,10,Jamaican Coffee River Sm
923,1/2/2023 15:55:19,1,55,4,9,4,Morning Sunrise Chai Lg
924,1/2/2023 15:55:19,1,79,3.75,1,2,Jumbo Savory Scone
932,1/2/2023 16:02:09,1,40,3.75,3,3,Cappuccino
933,1/2/2023 16:02:21,1,44,2.5,9,7,Peppermint Rg
934,1/2/2023 16:05:18,1,52,2.5,9,4,Traditional Blend Chai Rg
937,1/2/2023 16:08:22,1,54,2.5,9,4,Morning Sunrise Chai Rg
943,1/2/2023 16:14:09,1,30,3,3,13,Columbian Medium Roast Lg
944,1/2/2023 16:14:09,1,78,4.5,1,2,Scottish Cream Scone 
948,1/2/2023 16:19:48,1,78,4.5,1,2,Scottish Cream Scone 
951,1/2/2023 16:23:50,1,26,3,3,9,Brazilian Rg
957,1/2/2023 16:30:05,1,23,2.5,3,1,Our Old Time Diner Blend Rg
965,1/2/2023 16:33:17,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
966,1/2/2023 16:33:17,1,75,3.5,1,8,Croissant
967,1/2/2023 16:34:50,1,50,2.5,9,5,Earl Grey Rg
974,1/2/2023 16:42:33,1,34,2.45,3,10,Jamaican Coffee River Sm
975,1/2/2023 16:42:33,1,77,3,1,2,Oatmeal Scone
985,1/2/2023 16:59:09,1,23,2.5,3,1,Our Old Time Diner Blend Rg
989,1/2/2023 17:02:59,1,77,3,1,2,Oatmeal Scone
1001,1/2/2023 17:19:40,1,27,3.5,3,9,Brazilian Lg
1002,1/2/2023 17:19:40,1,74,3.5,1,6,Ginger Biscotti
1016,1/2/2023 17:38:48,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
1042,1/2/2023 18:06:18,1,61,4.75,5,11,Sustainably Grown Organic Lg
1043,1/2/2023 18:11:56,1,55,4,9,4,Morning Sunrise Chai Lg
1045,1/2/2023 18:17:00,1,73,3.75,1,8,Almond Croissant
1050,1/2/2023 18:22:30,1,31,2.2,3,13,Ethiopia Sm
1058,1/2/2023 18:29:53,1,34,2.45,3,10,Jamaican Coffee River Sm
1118,1/3/2023 7:04:46,1,78,4.5,1,2,Scottish Cream Scone 
1121,1/3/2023 7:16:26,1,73,3.75,1,8,Almond Croissant
1122,1/3/2023 7:17:23,1,45,3,9,7,Peppermint Lg
1134,1/3/2023 8:19:47,1,51,3,9,5,Earl Grey Lg
1135,1/3/2023 8:20:55,1,32,3,3,13,Ethiopia Rg
1136,1/3/2023 8:22:14,1,27,3.5,3,9,Brazilian Lg
1142,1/3/2023 8:31:07,1,41,4.25,3,3,Cappuccino Lg
1143,1/3/2023 8:31:07,1,78,4.5,1,2,Scottish Cream Scone 
1158,1/3/2023 8:49:35,1,72,3.25,1,2,Ginger Scone
1166,1/3/2023 9:07:30,1,70,3.25,1,2,Cranberry Scone
1170,1/3/2023 9:09:39,1,37,3,3,3,Espresso shot
1171,1/3/2023 9:15:44,1,45,3,9,7,Peppermint Lg
1175,1/3/2023 9:23:33,1,25,2.2,3,9,Brazilian Sm
1176,1/3/2023 9:24:46,1,54,2.5,9,4,Morning Sunrise Chai Rg
1178,1/3/2023 9:30:08,1,29,2.5,3,13,Columbian Medium Roast Rg
1180,1/3/2023 9:43:23,1,45,3,9,7,Peppermint Lg
1192,1/3/2023 10:01:51,1,87,3,3,3,Ouro Brasileiro shot
1194,1/3/2023 10:12:21,1,40,3.75,3,3,Cappuccino
1195,1/3/2023 10:17:13,1,37,3,3,3,Espresso shot
1196,1/3/2023 10:19:53,1,34,2.45,3,10,Jamaican Coffee River Sm
1197,1/3/2023 10:20:42,1,38,3.75,3,3,Latte
1203,1/3/2023 10:33:49,1,29,2.5,3,13,Columbian Medium Roast Rg
1205,1/3/2023 10:41:29,1,33,3.5,3,13,Ethiopia Lg
1206,1/3/2023 10:41:29,1,72,3.25,1,2,Ginger Scone
1207,1/3/2023 10:43:23,1,47,3,9,12,Serenity Green Tea Lg
1214,1/3/2023 10:56:53,1,73,3.75,1,8,Almond Croissant
1217,1/3/2023 11:02:48,1,54,2.5,9,4,Morning Sunrise Chai Rg
1224,1/3/2023 11:11:22,1,52,2.5,9,4,Traditional Blend Chai Rg
1232,1/3/2023 11:23:05,1,73,3.75,1,8,Almond Croissant
1242,1/3/2023 11:31:00,1,70,3.25,1,2,Cranberry Scone
1248,1/3/2023 11:33:44,1,75,3.5,1,8,Croissant
1259,1/3/2023 11:42:51,1,50,2.5,9,5,Earl Grey Rg
1265,1/3/2023 11:47:50,1,48,2.5,9,5,English Breakfast Rg
1269,1/3/2023 11:56:15,1,35,3.1,3,10,Jamaican Coffee River Rg
1270,1/3/2023 11:56:15,1,71,3.75,1,8,Chocolate Croissant
1272,1/3/2023 11:57:55,1,33,3.5,3,13,Ethiopia Lg
1273,1/3/2023 11:58:06,1,36,3.75,3,10,Jamaican Coffee River Lg
1280,1/3/2023 12:05:39,1,25,2.2,3,9,Brazilian Sm
1292,1/3/2023 12:30:20,1,51,3,9,5,Earl Grey Lg
1299,1/3/2023 12:44:41,1,46,2.5,9,12,Serenity Green Tea Rg
1305,1/3/2023 12:48:38,1,33,3.5,3,13,Ethiopia Lg
1306,1/3/2023 12:48:38,1,76,3.5,1,6,Chocolate Chip Biscotti
1314,1/3/2023 12:55:49,1,45,3,9,7,Peppermint Lg
1319,1/3/2023 13:04:25,1,42,2.5,9,7,Lemon Grass Rg
1321,1/3/2023 13:04:48,1,74,3.5,1,6,Ginger Biscotti
1328,1/3/2023 13:09:01,1,74,3.5,1,6,Ginger Biscotti
1331,1/3/2023 13:12:49,1,78,4.5,1,2,Scottish Cream Scone 
1343,1/3/2023 13:31:04,1,43,3,9,7,Lemon Grass Lg
1344,1/3/2023 13:31:04,1,74,3.5,1,6,Ginger Biscotti
1376,1/3/2023 14:13:47,1,72,3.25,1,2,Ginger Scone
1380,1/3/2023 14:17:42,1,41,4.25,3,3,Cappuccino Lg
1382,1/3/2023 14:18:47,1,71,3.75,1,8,Chocolate Croissant
1387,1/3/2023 14:22:00,1,79,3.75,1,2,Jumbo Savory Scone
1405,1/3/2023 14:42:59,1,51,3,9,5,Earl Grey Lg
1426,1/3/2023 14:55:03,1,51,3,9,5,Earl Grey Lg
1440,1/3/2023 15:06:37,1,49,3,9,5,English Breakfast Lg
1441,1/3/2023 15:06:37,1,75,3.5,1,8,Croissant
1454,1/3/2023 15:17:03,1,58,3.5,5,11,Dark chocolate Rg
1455,1/3/2023 15:17:03,1,78,4.5,1,2,Scottish Cream Scone 
1457,1/3/2023 15:19:17,1,47,3,9,12,Serenity Green Tea Lg
1458,1/3/2023 15:19:17,1,79,3.75,1,2,Jumbo Savory Scone
1493,1/3/2023 15:49:11,1,59,4.5,5,11,Dark chocolate Lg
1498,1/3/2023 15:55:31,1,30,3,3,13,Columbian Medium Roast Lg
1499,1/3/2023 15:55:36,1,58,3.5,5,11,Dark chocolate Rg
1505,1/3/2023 16:00:44,1,26,3,3,9,Brazilian Rg
1512,1/3/2023 16:14:44,1,45,3,9,7,Peppermint Lg
1520,1/3/2023 16:23:10,1,39,4.25,3,3,Latte Rg
1521,1/3/2023 16:23:10,1,77,3,1,2,Oatmeal Scone
1529,1/3/2023 16:29:19,1,72,3.25,1,2,Ginger Scone
1537,1/3/2023 16:33:26,1,30,3,3,13,Columbian Medium Roast Lg
1538,1/3/2023 16:34:56,1,61,4.75,5,11,Sustainably Grown Organic Lg
1539,1/3/2023 16:34:56,1,75,3.5,1,8,Croissant
1545,1/3/2023 16:39:44,1,32,3,3,13,Ethiopia Rg
1549,1/3/2023 16:43:22,1,54,2.5,9,4,Morning Sunrise Chai Rg
1551,1/3/2023 16:43:58,1,46,2.5,9,12,Serenity Green Tea Rg
1552,1/3/2023 16:43:58,1,71,3.75,1,8,Chocolate Croissant
1554,1/3/2023 16:49:49,1,45,3,9,7,Peppermint Lg
1557,1/3/2023 16:50:47,1,77,3,1,2,Oatmeal Scone
1565,1/3/2023 17:00:58,1,25,2.2,3,9,Brazilian Sm
1566,1/3/2023 17:00:58,1,79,3.75,1,2,Jumbo Savory Scone
1569,1/3/2023 17:04:37,1,58,3.5,5,11,Dark chocolate Rg
1572,1/3/2023 17:06:06,1,56,2.55,9,4,Spicy Eye Opener Chai Rg
1575,1/3/2023 17:08:41,1,25,2.2,3,9,Brazilian Sm
1579,1/3/2023 17:15:25,1,56,2.55,9,4,Spicy Eye Opener Chai Rg
1589,1/3/2023 17:25:30,1,28,2,3,13,Columbian Medium Roast Sm
1591,1/3/2023 17:26:45,1,77,3,1,2,Oatmeal Scone
1593,1/3/2023 17:27:22,1,61,4.75,5,11,Sustainably Grown Organic Lg
1614,1/3/2023 17:57:08,1,51,3,9,5,Earl Grey Lg
1615,1/3/2023 17:58:41,1,51,3,9,5,Earl Grey Lg
1629,1/3/2023 18:17:17,1,51,3,9,5,Earl Grey Lg
1630,1/3/2023 18:17:17,1,74,3.5,1,6,Ginger Biscotti
1699,1/4/2023 7:09:20,1,22,2,3,1,Our Old Time Diner Blend Sm
1700,1/4/2023 7:12:12,1,42,2.5,9,7,Lemon Grass Rg
1701,1/4/2023 7:15:38,1,30,3,3,13,Columbian Medium Roast Lg
1702,1/4/2023 7:30:48,1,31,2.2,3,13,Ethiopia Sm
1703,1/4/2023 7:35:22,1,45,3,9,7,Peppermint Lg
1704,1/4/2023 7:35:22,1,73,3.75,1,8,Almond Croissant
1706,1/4/2023 7:40:18,1,72,3.25,1,2,Ginger Scone
1714,1/4/2023 8:16:20,1,22,2,3,1,Our Old Time Diner Blend Sm
1719,1/4/2023 8:29:19,1,27,3.5,3,9,Brazilian Lg
1721,1/4/2023 8:31:15,1,61,4.75,5,11,Sustainably Grown Organic Lg
1723,1/4/2023 8:32:18,1,71,3.75,1,8,Chocolate Croissant
1732,1/4/2023 8:53:36,1,39,4.25,3,3,Latte Rg
1738,1/4/2023 9:11:25,1,25,2.2,3,9,Brazilian Sm
1739,1/4/2023 9:16:58,1,44,2.5,9,7,Peppermint Rg
1740,1/4/2023 9:16:58,1,76,3.5,1,6,Chocolate Chip Biscotti
1749,1/4/2023 9:50:48,1,50,2.5,9,5,Earl Grey Rg
1754,1/4/2023 9:56:35,1,72,3.25,1,2,Ginger Scone
1755,1/4/2023 9:57:39,1,43,3,9,7,Lemon Grass Lg
1758,1/4/2023 10:03:45,1,47,3,9,12,Serenity Green Tea Lg
1761,1/4/2023 10:05:03,1,69,3.25,1,6,Hazelnut Biscotti
1771,1/4/2023 10:27:54,1,71,3.75,1,8,Chocolate Croissant
1774,1/4/2023 10:43:20,1,54,2.5,9,4,Morning Sunrise Chai Rg
1781,1/4/2023 11:11:40,1,59,4.5,5,11,Dark chocolate Lg
1782,1/4/2023 11:11:46,1,24,3,3,1,Our Old Time Diner Blend Lg
1783,1/4/2023 11:11:58,1,30,3,3,13,Columbian Medium Roast Lg
1799,1/4/2023 11:28:26,1,71,3.75,1,8,Chocolate Croissant
1818,1/4/2023 11:59:26,1,29,2.5,3,13,Columbian Medium Roast Rg
1819,1/4/2023 12:00:11,1,87,3,3,3,Ouro Brasileiro shot
1820,1/4/2023 12:00:11,1,77,3,1,2,Oatmeal Scone
1826,1/4/2023 12:04:58,1,28,2,3,13,Columbian Medium Roast Sm
1836,1/4/2023 12:11:39,1,27,3.5,3,9,Brazilian Lg
1837,1/4/2023 12:11:39,1,71,3.75,1,8,Chocolate Croissant
1839,1/4/2023 12:14:53,1,45,3,9,7,Peppermint Lg
1879,1/4/2023 13:00:20,1,53,3,9,4,Traditional Blend Chai Lg
1893,1/4/2023 13:19:45,1,73,3.75,1,8,Almond Croissant
1897,1/4/2023 13:28:24,1,45,3,9,7,Peppermint Lg
1910,1/4/2023 13:49:07,1,76,3.5,1,6,Chocolate Chip Biscotti
1924,1/4/2023 14:03:56,1,34,2.45,3,10,Jamaican Coffee River Sm
1926,1/4/2023 14:04:09,1,77,3,1,2,Oatmeal Scone
1927,1/4/2023 14:05:55,1,41,4.25,3,3,Cappuccino Lg
1939,1/4/2023 14:19:06,1,71,3.75,1,8,Chocolate Croissant
1940,1/4/2023 14:19:28,1,45,3,9,7,Peppermint Lg
1941,1/4/2023 14:20:56,1,34,2.45,3,10,Jamaican Coffee River Sm
1942,1/4/2023 14:20:56,1,77,3,1,2,Oatmeal Scone
1948,1/4/2023 14:28:28,1,72,3.25,1,2,Ginger Scone
1953,1/4/2023 14:37:07,1,34,2.45,3,10,Jamaican Coffee River Sm
1958,1/4/2023 14:42:37,1,27,3.5,3,9,Brazilian Lg
1962,1/4/2023 14:43:52,1,28,2,3,13,Columbian Medium Roast Sm
1978,1/4/2023 14:55:44,1,30,3,3,13,Columbian Medium Roast Lg
1984,1/4/2023 15:00:47,1,57,3.1,9,4,Spicy Eye Opener Chai Lg
1987,1/4/2023 15:03:33,1,61,4.75,5,11,Sustainably Grown Organic Lg
1988,1/4/2023 15:03:33,1,74,3.5,1,6,Ginger Biscotti
2004,1/4/2023 15:28:03,1,24,3,3,1,Our Old Time Diner Blend Lg
2006,1/4/2023 15:28:24,1,25,2.2,3,9,Brazilian Sm
2009,1/4/2023 15:29:46,1,61,4.75,5,11,Sustainably Grown Organic Lg
2011,1/4/2023 15:31:42,1,23,2.5,3,1,Our Old Time Diner Blend Rg
2020,1/4/2023 15:37:05,1,51,3,9,5,Earl Grey Lg
2023,1/4/2023 15:41:29,1,34,2.45,3,10,Jamaican Coffee River Sm
2029,1/4/2023 15:46:27,1,27,3.5,3,9,Brazilian Lg
2045,1/4/2023 16:13:54,1,24,3,3,1,Our Old Time Diner Blend Lg
2061,1/4/2023 17:00:58,1,74,3.5,1,6,Ginger Biscotti
2062,1/4/2023 17:01:03,1,22,2,3,1,Our Old Time Diner Blend Sm
2078,1/4/2023 17:17:16,1,45,3,9,7,Peppermint Lg
2089,1/4/2023 17:30:15,1,42,2.5,9,7,Lemon Grass Rg
2092,1/4/2023 17:34:26,1,40,3.75,3,3,Cappuccino
2096,1/4/2023 17:36:44,1,73,3.75,1,8,Almond Croissant
2105,1/4/2023 17:55:41,1,41,4.25,3,3,Cappuccino Lg
2118,1/4/2023 18:13:36,1,27,3.5,3,9,Brazilian Lg
2119,1/4/2023 18:13:36,1,71,3.75,1,8,Chocolate Croissant
2126,1/4/2023 18:22:09,1,35,3.1,3,10,Jamaican Coffee River Rg
2127,1/4/2023 18:22:09,1,69,3.25,1,6,Hazelnut Biscotti
2133,1/4/2023 18:28:20,1,73,3.75,1,8,Almond Croissant
2196,1/5/2023 7:00:26,1,48,2.5,9,5,English Breakfast Rg
2198,1/5/2023 7:11:08,1,49,3,9,5,English Breakfast Lg
